Short,KCID,Specification,Weight,Customs code:,Price,Pic
"Equivalent Wire Rope for Stahl, Rope Length: 63.9 m, Diameter: 20 mm, Lay Type and Direction: Left Hand Ordinary, Minimum Breaking Load: 315.000 kN (replaces 443434240, 0443434240, 04 434 34 24 0)",69477438,SP-20-8X36-U-LHO-315-63.9M,107.99 kg,73121083,"2,259.47",https://store.konecranes.com/medias/69477438.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoZjMvaDVmLzkyMzM2MTI4MzI3OTgvL21hc3Rlci82OTQ3NzQzOC5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDE1NTEzZmRhZmI5ZGNjYWRlODRmNGI5OGJjOTIwNGMwODA0NmYzMjM0MzgxZTBjMGM2YjlkNzFhMWFmODQwN2E&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 23.9 m, Diameter: 15 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 170.000 kN (replaces 4333427240, 43 334 27 24 0)",69477333,SP-15-6X36-B-RHO-170-23.9M,22.7 kg,,"1,115.16",https://store.konecranes.com/medias/69477333.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoYTkvaGM2LzkyMzM2MDcwOTgzOTgvL21hc3Rlci82OTQ3NzMzMy5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDYwNmIxMTZlNjBlODg1NjBmYmEwMmE5Y2E3NGY2NjNlYjM4MjcxODU2YjgwN2Y4YWQ0NzllMWEwNzBlODIyYzg&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 18.7 m, Diameter: 7 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 40.000 kN (replaces 4333432240, 43 334 32 24 0)",68815419,SP-7-8X19-B-RHO-40-18.7M,3.74 kg,,166.56,https://store.konecranes.com/medias/68815419.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoZTMvaGIwLzkyMzM0OTEyNjM1MTgvL21hc3Rlci82ODgxNTQxOS5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDAxZTBlN2IyM2UyOWNmYmM4OTAwNjk3MmFmOWQ2NDAwMzJhNzRjN2RlNGMyMjVlMDY3NWJlNWEzYWFhMDExN2E&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 43.8 m, Diameter: 9 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 64.000 kN (replaces 443418240, 0443418240, 04 434 18 24 0)",68815339,SP-9-8X19-B-RHO-64-43.8M,15.33 kg,,448.31,https://store.konecranes.com/medias/68815339.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoNDkvaGE5LzkyMzM0ODMzOTkxOTgvL21hc3Rlci82ODgxNTMzOS5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfGJiZTM0ZWI2NmNhOGM1ZGY5MjI2MDZkZThlNWE2MzkzYjM3YzdmYTA0MjZkY2IyOWRiNDQ1ZjU1MmZhYzIwNzM&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 25.6 m, Diameter: 5.50 mm, Lay Type and Direction: Left Hand Ordinary, Minimum Breaking Load: 25.000 kN (replaces 343400240, 0343400240, 03 43 40 02 40)",68801486,SP-5.5-6X19-B-LHO-25-25.6M,3.33 kg,73121081,156.52,https://store.konecranes.com/medias/68801486.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoY2EvaDM4LzkyMzMyNjA4MDYxNzQvL21hc3Rlci82ODgwMTQ4Ni5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDgzZWYyMDliMmMyOTNkOTYyYWIzYmEzNTg4MGFhZDYwMTYwMzk3YWY4ZGIwZmMwN2I4NTkxYTExYWU0ODA5ODU&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Diameter: 15.00 mm, Lay Type and Direction: Right Hand Ordinary Lay, Minimum Breaking Load: 170.000 kN, Complete Strand Designation: 6X36WS-IWRC, (replaces 3308259, 330 825 9)",68791605,15-6X36-B-RHO-170,Unavailable,73121083,46.6,https://store.konecranes.com/medias/68791605.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoZjAvaDkxLzkyMzMyNTMyMDM5OTgvL21hc3Rlci82ODc5MTYwNS5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDZlYzA2YjM5N2FhOTYxZTcwNjE4YTdhN2Q5OGI0ZGFhNDRjZDAxMTA0MTQyNTg1NjQ5NjE4ZGM5YmY2NDU5MGE&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Diameter: 14.00 mm, Lay Type and Direction: Left Hand Ordinary Lay, Minimum Breaking Load: 160.000 kN, Complete Strand Designation: 8X19W-IWRC, (replaces 3300249, 330 024 9)",68791592,14-8X19-B-LHO-160,Unavailable,73121083,37.2,https://store.konecranes.com/medias/68791592.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoMzEvaDk2LzkyMzMyNDcyNDAyMjIvL21hc3Rlci82ODc5MTU5Mi5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDZhMTAxMzE1NzhkNTAzZDEwZmU0ZjU3NjNmNTNjOWMwNjY4MWNjYTA4OWM0ZTZjMjYzZGI5NDg1ODliMmE5OWU&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 29.2 m, Diameter: 15 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 170.000 kN (replaces 4333471240, 43 334 71 24 0)",69477382,SP-15-6X36-B-RHO-170-29.2M,27.74 kg,,"1,362.40",https://store.konecranes.com/medias/69477382.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoNDQvaDRlLzkyMzM2MDExMDE4NTQvL21hc3Rlci82OTQ3NzM4Mi5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfGFmNGQ4MzQ5OTcyMjM4Yjc0NGU1NmUwOGMxY2M5NGY3MTkzNTZkNjg4OTE3NDQ3ZTA2ZTcxYzRkNGY5OTgxMmE&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 25.3m, Diameter: 7 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 40.000 kN (replaces 4333415240, 43 334 15 24 0)",68815345,SP-7-8X19-B-RHO-40-25.3M,5.06 kg,,225.32,https://store.konecranes.com/medias/68815345.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoZDMvaDg0LzkyMzM0ODg5MDQyMjIvL21hc3Rlci82ODgxNTM0NS5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDA4N2MxNzc1ZDFmMGIzNDNhNTc5ZGE5YTQ0M2E0MmJmNTg3ZWFlMWExOGI1OWJiZjMwMzYxZjMxZDNlZDc5OWQ&v=e5cf8f64
"Equivalent Wire Rope for Stahl, Rope Length: 49.5 m, Diameter: 20 mm, Lay Type and Direction: Right Hand Ordinary, Minimum Breaking Load: 315.000 kN (replaces 443431240, 0443431240, 04 434 31 24 0)",69477423,SP-20-8X36-U-RHO-315-49.5M,83.66 kg,,"1,750.29",https://store.konecranes.com/medias/69477423.jpg?context=bWFzdGVyfGltYWdlc3wxMTY1MTB8aW1hZ2UvanBlZ3xoZTgvaGNmLzkyMzM2MDM1NTk0NTQvL21hc3Rlci82OTQ3NzQyMy5qcGdfMTIwMFd4MTIwMEhfNDYwV3g0NjBIfDVjZWQyZjIzMzA1NWYxMTZmMzgxNTZkZjc3ZTFmZWI5NmIxMDU0NjJhMjViNzJjYjkyMzFiOTEwODY4MDY5YjA&v=e5cf8f64
